category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
Masks,irritation,837.0,669.0,5333.0,6839.0,0.7797923673051615,0.12238631378856558,5.805252431018016
Masks,finish,101.0,258.0,1769.0,2128.0,0.831296992481203,0.047462406015037595,6.006843977933423
Masks,hydration,961.0,1650.0,8513.0,11124.0,0.765282272563826,0.08638978784609852,6.325207408155708
Masks,effectiveness,650.0,1249.0,7023.0,8922.0,0.7871553463349025,0.07285362026451468,6.497565286469364
Mini Size,sillage,1.0,5.0,22.0,28.0,0.7857142857142857,0.03571428571428571,2.5254718724898555
Mini Size,longevity,20.0,58.0,257.0,335.0,0.7671641791044777,0.05970149253731343,4.115389089287402
Mini Size,price,1759.0,2703.0,7803.0,12265.0,0.6362005707297187,0.1434162250305748,4.639360841623135
Mini Size,packaging,1300.0,2188.0,6734.0,10222.0,0.6587751907650167,0.1271766777538642,4.907927646372689
Mini Size,irritation,1109.0,1016.0,5269.0,7394.0,0.7126048147146334,0.14998647552069244,5.012118880254636
Mini Size,fragrance,1611.0,2629.0,8787.0,13027.0,0.6745221463115069,0.12366623167267982,5.219280559611467
Mini Size,finish,274.0,570.0,2945.0,3789.0,0.7772499340195302,0.07231459487991554,5.8087527018111
Mini Size,hydration,878.0,1584.0,6844.0,9306.0,0.7354395013969482,0.09434773264560499,5.858631286723829
Mini Size,ingredients,1259.0,1399.0,8177.0,10835.0,0.7546838947854176,0.11619750807568066,5.931940270214315
Mini Size,effectiveness,726.0,1643.0,8125.0,10494.0,0.7742519534972365,0.06918238993710692,6.527995298689992
Moisturizers,sillage,6.0,13.0,36.0,55.0,0.6545454545454545,0.10909090909090909,2.195646376764627
Moisturizers,longevity,90.0,323.0,1154.0,1567.0,0.7364390555201021,0.0574345883854499,4.99581352761239
Moisturizers,ingredients,4110.0,4021.0,16656.0,24787.0,0.6719651430185177,0.16581272441199016,5.121308350685954
Moisturizers,price,5259.0,7533.0,26201.0,38993.0,0.6719411176364989,0.1348703613469084,5.677462543320016
